Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"GLUD2","Glutamate Dehydrogenase 2","Protein Coding","P49448","53","GC0XP121047","10.1862697601318","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLUD2"
"CTPS1","CTP Synthase 1","Protein Coding","P17812","58","GC01P040979","10.1730871200562","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTPS1"
"DDIT3","DNA Damage Inducible Transcript 3","Protein Coding","P35638","59","GC12M057516","10.171236038208","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDIT3"
"MAPK3","Mitogen-Activated Protein Kinase 3","Protein Coding","P27361","62","GC16M045720","10.1669044494629","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK3"
"BECN1","Beclin 1","Protein Coding","Q14457","59","GC17M042810","10.129355430603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BECN1"
"MAPK10","Mitogen-Activated Protein Kinase 10","Protein Coding","P53779","60","GC04M085990","10.1213245391846","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK10"
"AMPD3","Adenosine Monophosphate Deaminase 3","Protein Coding","Q01432","55","GC11P014574","10.1003704071045","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMPD3"
"EMSLR","E2F1 MRNA Stabilizing LncRNA","RNA Gene","","20","GC07P108819","9.9852123260498","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMSLR"
"CRP","C-Reactive Protein","Protein Coding","P02741","58","GC01M165279","9.93775653839111","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"MT-ATP6","Mitochondrially Encoded ATP Synthase Membrane Subunit 6","Protein Coding","P00846","43","GCMTP008531","9.93215465545654","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-ATP6"
"CRYAB","Crystallin Alpha B","Protein Coding","P02511","58","GC11M111908","9.93030071258545","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRYAB"
"NOS3","Nitric Oxide Synthase 3","Protein Coding","P29474","62","GC07P161731","9.91207504272461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3"
"MALAT1","Metastasis Associated Lung Adenocarcinoma Transcript 1","RNA Gene","","33","GC11P098972","9.90661525726318","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALAT1"
"HCFC1","Host Cell Factor C1","Protein Coding","P51610","59","GC0XM153947","9.87966156005859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCFC1"
"ELN","Elastin","Protein Coding","P15502","55","GC07P074027","9.87529754638672","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELN"
"ECHS1","Enoyl-CoA Hydratase, Short Chain 1","Protein Coding","P30084","58","GC10M133362","9.86814117431641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ECHS1"
"HMBS","Hydroxymethylbilane Synthase","Protein Coding","P08397","57","GC11P119084","9.82479572296143","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMBS"
"NBAS","NBAS Subunit Of NRZ Tethering Complex","Protein Coding","A2RRP1","52","GC02M014800","9.77294921875","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBAS"
"ATP5F1A","ATP Synthase F1 Subunit Alpha","Protein Coding","P25705","59","GC18M046081","9.74133396148682","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP5F1A"
"MAP2","Microtubule Associated Protein 2","Protein Coding","P11137","57","GC02P209424","9.72740650177002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2"
"PYGM","Glycogen Phosphorylase, Muscle Associated","Protein Coding","P11217","59","GC11M064746","9.725417137146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYGM"
"PRKCD","Protein Kinase C Delta","Protein Coding","Q05655","65","GC03P053156","9.69145488739014","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCD"
"LOX","Lysyl Oxidase","Protein Coding","P28300","60","GC05M122063","9.68955421447754","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOX"
"ACADSB","Acyl-CoA Dehydrogenase Short/Branched Chain","Protein Coding","P45954","57","GC10P123008","9.67087841033936","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADSB"
"ADSL","Adenylosuccinate Lyase","Protein Coding","P30566","59","GC22P040346","9.66307830810547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADSL"
"MT-CYB","Mitochondrially Encoded Cytochrome B","Protein Coding","P00156","44","GCMTP014749","9.63072490692139","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CYB"
"NPC1","NPC Intracellular Cholesterol Transporter 1","Protein Coding","O15118","62","GC18M023506","9.57501888275146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPC1"
"NFE2L2","NFE2 Like BZIP Transcription Factor 2","Protein Coding","Q16236","63","GC02M177227","9.55628108978271","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2"
"DNAH8","Dynein Axonemal Heavy Chain 8","Protein Coding","Q96JB1","50","GC06P156466","9.51419544219971","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAH8"
"MMADHC","Metabolism Of Cobalamin Associated D","Protein Coding","Q9H3L0","55","GC02M149569","9.45183753967285","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMADHC"
"FOXO3","Forkhead Box O3","Protein Coding","O43524","60","GC06P108559","9.44890880584717","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXO3"
"GAMT","Guanidinoacetate N-Methyltransferase","Protein Coding","Q14353","59","GC19M001397","9.37031269073486","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAMT"
"BRCA1","BRCA1 DNA Repair Associated","Protein Coding","P38398","63","GC17M043044","9.32498836517334","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1"
"SLC2A1","Solute Carrier Family 2 Member 1","Protein Coding","P11166","66","GC01M042925","9.30033588409424","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A1"
"VCP","Valosin Containing Protein","Protein Coding","P55072","62","GC09M035431","9.23451328277588","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCP"
"YWHAG","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Gamma","Protein Coding","P61981","61","GC07M079217","9.14687919616699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAG"
"SLC1A3","Solute Carrier Family 1 Member 3","Protein Coding","P43003","62","GC05P036712","9.11970710754395","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC1A3"
"LINC02605","Long Intergenic Non-Protein Coding RNA 2605","RNA Gene","","22","GC08P078838","9.11870765686035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02605"
"YWHAB","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Beta","Protein Coding","P31946","59","GC20P044885","9.11256980895996","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAB"
"FHIT","Fragile Histidine Triad Diadenosine Triphosphatase","Protein Coding","P49789","55","GC03M059747","9.03872776031494","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FHIT"
"HDAC9","Histone Deacetylase 9","Protein Coding","Q9UKV0","63","GC07P018086","9.00268936157227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC9"
"AOC3","Amine Oxidase Copper Containing 3","Protein Coding","Q16853","58","GC17P042851","8.9905891418457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AOC3"
"HSPA5","Heat Shock Protein Family A (Hsp70) Member 5","Protein Coding","P11021","61","GC09M125234","8.92351245880127","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA5"
"GMPS","Guanine Monophosphate Synthase","Protein Coding","P49915","55","GC03P155870","8.89932155609131","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GMPS"
"PYY","Peptide YY","Protein Coding","P10082","55","GC17M043952","8.88832664489746","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYY"
"UPB1","Beta-Ureidopropionase 1","Protein Coding","Q9UBR1","58","GC22P024494","8.83710384368896","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UPB1"
"HMGCS2","3-Hydroxy-3-Methylglutaryl-CoA Synthase 2","Protein Coding","P54868","58","GC01M119747","8.81268405914307","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGCS2"
"CCND1","Cyclin D1","Protein Coding","P24385","66","GC11P069641","8.79334259033203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1"
"OCRL","OCRL Inositol Polyphosphate-5-Phosphatase","Protein Coding","Q01968","56","GC0XP129539","8.78158378601074","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OCRL"
"EIF2AK3","Eukaryotic Translation Initiation Factor 2 Alpha Kinase 3","Protein Coding","Q9NZJ5","63","GC02M088556","8.7640266418457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2AK3"
"AQP8","Aquaporin 8","Protein Coding","O94778","48","GC16P104676","8.75483989715576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AQP8"
"CTH","Cystathionine Gamma-Lyase","Protein Coding","P32929","61","GC01P070411","8.74155712127686","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTH"
"F5","Coagulation Factor V","Protein Coding","P12259","59","GC01M169511","8.70086860656738","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F5"
"GOT2","Glutamic-Oxaloacetic Transaminase 2","Protein Coding","P00505","60","GC16M058707","8.69977569580078","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GOT2"
"CFTR","CF Transmembrane Conductance Regulator","Protein Coding","P13569","66","GC07P117287","8.67783355712891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFTR"
"TGM2","Transglutaminase 2","Protein Coding","P21980","60","GC20M038127","8.6771879196167","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGM2"
"C4A","Complement C4A (Chido/Rodgers Blood Group)","Protein Coding","P0C0L4","56","GC06P156266","8.67125511169434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C4A"
"PRKACA","Protein Kinase CAMP-Activated Catalytic Subunit Alpha","Protein Coding","P17612","66","GC19M100419","8.66454601287842","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKACA"
"MED23","Mediator Complex Subunit 23","Protein Coding","Q9ULK4","55","GC06M131573","8.65644836425781","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED23"
"F13A1","Coagulation Factor XIII A Chain","Protein Coding","P00488","59","GC06M006144","8.64072799682617","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F13A1"
"GCDH","Glutaryl-CoA Dehydrogenase","Protein Coding","Q92947","58","GC19P012891","8.61848258972168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCDH"
"HSPA4","Heat Shock Protein Family A (Hsp70) Member 4","Protein Coding","P34932","55","GC05P133097","8.59535694122314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA4"
"CTPS2","CTP Synthase 2","Protein Coding","Q9NRF8","47","GC0XM016587","8.58055973052979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTPS2"
"AQP4","Aquaporin 4","Protein Coding","P55087","58","GC18M026852","8.57019805908203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AQP4"
"GAA","Alpha Glucosidase","Protein Coding","P10253","63","GC17P080101","8.40690612792969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAA"
"SLC19A3","Solute Carrier Family 19 Member 3","Protein Coding","Q9BZV2","58","GC02M227685","8.35848045349121","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC19A3"
"SLC9A3","Solute Carrier Family 9 Member A3","Protein Coding","P48764","59","GC05M000472","8.33056831359863","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC9A3"
"MAOB","Monoamine Oxidase B","Protein Coding","P27338","56","GC0XM043766","8.29146957397461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAOB"
"MPV17","Mitochondrial Inner Membrane Protein MPV17","Protein Coding","P39210","53","GC02M027309","8.25827407836914","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPV17"
"HSP90AA1","Heat Shock Protein 90 Alpha Family Class A Member 1","Protein Coding","P07900","64","GC14M102080","8.25255680084229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AA1"
"STK11","Serine/Threonine Kinase 11","Protein Coding","Q15831","63","GC19P001177","8.2324914932251","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK11"
"ACAD8","Acyl-CoA Dehydrogenase Family Member 8","Protein Coding","Q9UKU7","55","GC11P134253","8.22500801086426","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACAD8"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","P37231","65","GC03P012287","8.19556427001953","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"TSPO","Translocator Protein","Protein Coding","B1AH88","57","GC22P043151","8.19010639190674","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPO"
"LOC126861898","BRD4-Independent Group 4 Enhancer GRCh37_chr14:23893609-23894808","Functional Element","","9","GC14P052820","8.18739128112793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126861898"
"ACTB","Actin Beta","Protein Coding","P60709","63","GC07M005726","8.17994403839111","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTB"
"NPC2","NPC Intracellular Cholesterol Transporter 2","Protein Coding","P61916","56","GC14M074476","8.15185928344727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPC2"
"PIK3R1","Phosphoinositide-3-Kinase Regulatory Subunit 1","Protein Coding","P27986","65","GC05P068215","8.13524532318115","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R1"
"SMN1","Survival Of Motor Neuron 1, Telomeric","Protein Coding","Q16637","53","GC05P070924","8.1206169128418","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMN1"
"SCARNA5","Small Cajal Body-Specific RNA 5","RNA Gene","","28","GC02P233275","8.11057949066162","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARNA5"
"SLC1A2","Solute Carrier Family 1 Member 2","Protein Coding","P43004","62","GC11M035267","8.0687198638916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC1A2"
"IL13","Interleukin 13","Protein Coding","P35225","56","GC05P132656","8.0489616394043","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL13"
"IL18","Interleukin 18","Protein Coding","Q14116","56","GC11M112143","8.04576587677002","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL18"
"PPARA","Peroxisome Proliferator Activated Receptor Alpha","Protein Coding","Q07869","56","GC22P046150","8.03640651702881","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARA"
"SERPINE1","Serpin Family E Member 1","Protein Coding","P05121","63","GC07P101127","8.03303813934326","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1"
"PCSK9","Proprotein Convertase Subtilisin/Kexin Type 9","Protein Coding","Q8NBP7","62","GC01P055039","8.00312232971191","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK9"
"ACADL","Acyl-CoA Dehydrogenase Long Chain","Protein Coding","P28330","53","GC02M210187","7.96751403808594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADL"
"SLC17A5","Solute Carrier Family 17 Member 5","Protein Coding","Q9NRA2","57","GC06M073593","7.94739055633545","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC17A5"
"FGF2","Fibroblast Growth Factor 2","Protein Coding","P09038","58","GC04P122826","7.92914390563965","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF2"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","P05019","61","GC12M102395","7.92262649536133","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"ATP1A3","ATPase Na+/K+ Transporting Subunit Alpha 3","Protein Coding","P13637","61","GC19M041966","7.9205322265625","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP1A3"
"CDK1","Cyclin Dependent Kinase 1","Protein Coding","P06493","61","GC10P060772","7.88785552978516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK1"
"EGF","Epidermal Growth Factor","Protein Coding","P01133","64","GC04P109912","7.87973165512085","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF"
"HSPB1","Heat Shock Protein Family B (Small) Member 1","Protein Coding","P04792","64","GC07P076302","7.84675741195679","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPB1"
"AKT2","AKT Serine/Threonine Kinase 2","Protein Coding","P31751","66","GC19M040230","7.80734252929688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT2"
"CDH1","Cadherin 1","Protein Coding","P12830","62","GC16P068737","7.79279804229736","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH1"
"APC","APC Regulator Of WNT Signaling Pathway","Protein Coding","P25054","62","GC05P112707","7.79114532470703","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APC"
"ADCYAP1","Adenylate Cyclase Activating Polypeptide 1","Protein Coding","P18509","54","GC18P000895","7.78345108032227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCYAP1"
"SNORD118","Small Nucleolar RNA, C/D Box 118","RNA Gene","","28","GC17M088330","7.75780153274536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD118"
"NPPA","Natriuretic Peptide A","Protein Coding","P01160","57","GC01M019842","7.75199508666992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPPA"
"SURF1","SURF1 Cytochrome C Oxidase Assembly Factor","Protein Coding","Q15526","54","GC09M133351","7.72278833389282","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SURF1"
"HTR2A","5-Hydroxytryptamine Receptor 2A","Protein Coding","P28223","60","GC13M046831","7.70848751068115","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR2A"
"ABCB11","ATP Binding Cassette Subfamily B Member 11","Protein Coding","O95342","59","GC02M168922","7.70772695541382","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB11"
"ABCA3","ATP Binding Cassette Subfamily A Member 3","Protein Coding","Q99758","61","GC16M002275","7.69176769256592","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA3"
"GJB2","Gap Junction Protein Beta 2","Protein Coding","P29033","58","GC13M020187","7.64973831176758","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJB2"
"SMAD5-AS1","SMAD5 Antisense RNA 1","RNA Gene","Q9Y6J3","30","GC05M136129","7.64783143997192","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD5-AS1"
"TGM1","Transglutaminase 1","Protein Coding","P22735","58","GC14M024249","7.61113929748535","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGM1"
"FBXL4","F-Box And Leucine Rich Repeat Protein 4","Protein Coding","Q9UKA2","51","GC06M098868","7.60685443878174","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXL4"
"CST3","Cystatin C","Protein Coding","P01034","56","GC20M024131","7.5686559677124","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CST3"
"CDKN3","Cyclin Dependent Kinase Inhibitor 3","Protein Coding","Q16667","53","GC14P054417","7.56588935852051","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN3"
"HSPA8","Heat Shock Protein Family A (Hsp70) Member 8","Protein Coding","P11142","62","GC11M123057","7.55397081375122","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA8"
"MSH6","MutS Homolog 6","Protein Coding","P52701","61","GC02P047695","7.54321575164795","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSH6"
"EIF2AK2","Eukaryotic Translation Initiation Factor 2 Alpha Kinase 2","Protein Coding","P19525","62","GC02M037099","7.53175449371338","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2AK2"
